Country,Indicator,Value
Saudi Arabia,Life expectancy (at birth) (MALE),73.106
Timor-Leste,Life expectancy (at birth) (MALE),61.94714
Oman,Life expectancy (at birth) (MALE),70.89524841
Pakistan,Life expectancy (at birth) (MALE),65.07673645
Panama,Life expectancy (at birth) (MALE),74.35268402
Papua New Guinea,Life expectancy (at birth) (MALE),64.20317078
Paraguay,Life expectancy (at birth) (MALE),67.62709808
Peru,Life expectancy (at birth) (MALE),68.81771088
Philippines,Life expectancy (at birth) (MALE),63.39790344
Poland,Life expectancy (at birth) (MALE),71.55303955
Portugal,Life expectancy (at birth) (MALE),78.27281189
Puerto Rico,Life expectancy (at birth) (MALE),76.19514465
Qatar,Life expectancy (at birth) (MALE),76.03086853
Bangladesh,Life expectancy (at birth) (MALE),72.99429
Mexico,Life expectancy (at birth) (MALE),71.67798
Luxembourg,Life expectancy (at birth) (MALE),80.76781464
Madagascar,Life expectancy (at birth) (MALE),61.86037064
Malawi,Life expectancy (at birth) (MALE),59.72269821
Eswatini,Life expectancy (at birth) (MALE),51.64387131
Ethiopia,Life expectancy (at birth) (MALE),65.96191406
Türkiye,Life expectancy (at birth) (MALE),72.53639984
Turkmenistan,Life expectancy (at birth) (MALE),65.70659638
Uganda,Life expectancy (at birth) (MALE),62.92684174
Ukraine,Life expectancy (at birth) (MALE),66.33380127
United Arab Emirates,Life expectancy (at birth) (MALE),77.17597961
United Kingdom of Great Britain and Northern Ireland,Life expectancy (at birth) (MALE),78.27424622
United Republic of Tanzania,Life expectancy (at birth) (MALE),65.23878479
United States of America,Life expectancy (at birth) (MALE),73.72311401
Uruguay,Life expectancy (at birth) (MALE),71.24718475
Uzbekistan,Life expectancy (at birth) (MALE),70.1640625
Vanuatu,Life expectancy (at birth) (MALE),63.35992813
Venezuela (Bolivarian Republic of),Life expectancy (at birth) (MALE),66.85585785
Viet Nam,Life expectancy (at birth) (MALE),69.72524262
Sri Lanka,Life expectancy (at birth) (MALE),69.4411
Peru,Life expectancy (at birth) (MALE),78.4557
Malawi,Life expectancy (at birth) (MALE),43.96169
Mozambique,Life expectancy (at birth) (MALE),52.41692
Kyrgyzstan,Life expectancy (at birth) (MALE),70.74789
Latvia,Life expectancy (at birth) (MALE),67.75643
Africa,Life expectancy (at birth) (MALE),51.0576
Iran (Islamic Republic of),Life expectancy (at birth) (MALE),70.72992
Romania,Life expectancy (at birth) (MALE),71.95333
Myanmar,Life expectancy (at birth) (MALE),61.62328
Bosnia and Herzegovina,Life expectancy (at birth) (MALE),73.84852
Norway,Life expectancy (at birth) (MALE),78.82689
Botswana,Life expectancy (at birth) (MALE),55.14339
Nepal,Life expectancy (at birth) (MALE),67.32189
Afghanistan,Life expectancy (at birth) (MALE),63.28709
Jamaica,Life expectancy (at birth) (MALE),73.27067
Kazakhstan,Life expectancy (at birth) (MALE),67.42753
Haiti,Life expectancy (at birth) (MALE),62.08983
North Macedonia,Life expectancy (at birth) (MALE),70.92233
Belgium,Life expectancy (at birth) (MALE),78.48286
Albania,Life expectancy (at birth) (MALE),74.23331
United Kingdom of Great Britain and Northern Ireland,Life expectancy (at birth) (MALE),79.78545
Fiji,Life expectancy (at birth) (MALE),65.77479
Tonga,Life expectancy (at birth) (MALE),69.80632
Georgia,Life expectancy (at birth) (MALE),68.2441
Poland,Life expectancy (at birth) (MALE),74.52794
Panama,Life expectancy (at birth) (MALE),74.6337
World,Life expectancy (at birth) (MALE),69.76766
Haiti,Life expectancy (at birth) (MALE),56.96631
Low-income economies,Life expectancy (at birth) (MALE),62.95647
Thailand,Life expectancy (at birth) (MALE),74.13372
Ghana,Life expectancy (at birth) (MALE),63.66003
Uganda,Life expectancy (at birth) (MALE),63.24249
Ukraine,Life expectancy (at birth) (MALE),67.99895
Denmark,Life expectancy (at birth) (MALE),79.58591
Suriname,Life expectancy (at birth) (MALE),69.49567
Niger,Life expectancy (at birth) (MALE),57.77248
Bosnia and Herzegovina,Life expectancy (at birth) (MALE),74.37591
Cabo Verde,Life expectancy (at birth) (MALE),69.8988
Philippines,Life expectancy (at birth) (MALE),65.4696
Mali,Life expectancy (at birth) (MALE),58.59385
Honduras,Life expectancy (at birth) (MALE),70.23616
Zimbabwe,Life expectancy (at birth) (MALE),45.14684
Vanuatu,Life expectancy (at birth) (MALE),61.35443
Antigua and Barbuda,Life expectancy (at birth) (MALE),71.99642
Austria,Life expectancy (at birth) (MALE),77.64973
Bahrain,Life expectancy (at birth) (MALE),75.86536
Western Pacific,Life expectancy (at birth) (MALE),73.96489
Bolivia (Plurinational State of),Life expectancy (at birth) (MALE),71.14804
Europe,Life expectancy (at birth) (MALE),73.80158
Türkiye,Life expectancy (at birth) (MALE),75.39343
Croatia,Life expectancy (at birth) (MALE),74.30309
Burkina Faso,Life expectancy (at birth) (MALE),58.24176
Solomon Islands,Life expectancy (at birth) (MALE),60.11681
Colombia,Life expectancy (at birth) (MALE),74.00397
Denmark,Life expectancy (at birth) (MALE),77.19883
Ecuador,Life expectancy (at birth) (MALE),76.41323
Seychelles,Life expectancy (at birth) (MALE),69.953
Burundi,Life expectancy (at birth) (MALE),41.79497
Belarus,Life expectancy (at birth) (MALE),63.27564
Nepal,Life expectancy (at birth) (MALE),63.86727
Nigeria,Life expectancy (at birth) (MALE),59.59
Bahamas,Life expectancy (at birth) (MALE),69.73015
Bosnia and Herzegovina,Life expectancy (at birth) (MALE),72.60197
Malawi,Life expectancy (at birth) (MALE),59.67438
United Republic of Tanzania,Life expectancy (at birth) (MALE),65.37194
Eritrea,Life expectancy (at birth) (MALE),51.16452
United States of America,Life expectancy (at birth) (MALE),76.28124
Indonesia,Life expectancy (at birth) (MALE),68.76977
Israel,Life expectancy (at birth) (MALE),76.35535
North Macedonia,Life expectancy (at birth) (MALE),72.84443
El Salvador,Life expectancy (at birth) (MALE),70.61619
Chad,Life expectancy (at birth) (MALE),53.92665
China,Life expectancy (at birth) (MALE),73.85298
Seychelles,Life expectancy (at birth) (MALE),69.57352
Bhutan,Life expectancy (at birth) (MALE),64.88332
Vanuatu,Life expectancy (at birth) (MALE),62.65745
Upper-middle-income economies,Life expectancy (at birth) (MALE),67.73392
United Kingdom of Great Britain and Northern Ireland,Life expectancy (at birth) (MALE),78.34451
Haiti,Life expectancy (at birth) (MALE),63.33846
Europe,Life expectancy (at birth) (MALE),72.13924
Turkmenistan,Life expectancy (at birth) (MALE),63.61699
United States of America,Life expectancy (at birth) (MALE),76.27111
Eritrea,Life expectancy (at birth) (MALE),57.78076
Central African Republic,Life expectancy (at birth) (MALE),50.20675
Norway,Life expectancy (at birth) (MALE),75.85964
Namibia,Life expectancy (at birth) (MALE),60.58327
Bahamas,Life expectancy (at birth) (MALE),69.8522
Malaysia,Life expectancy (at birth) (MALE),72.2492
Malaysia,Life expectancy (at birth) (MALE),73.01138
Italy,Life expectancy (at birth) (MALE),80.91323
Hungary,Life expectancy (at birth) (MALE),72.16216
Switzerland,Life expectancy (at birth) (MALE),81.48440552
Syrian Arab Republic,Life expectancy (at birth) (MALE),70.56090546
Tajikistan,Life expectancy (at birth) (MALE),70.1727829
China,Life expectancy (at birth) (MALE),72.26303
Somalia,Life expectancy (at birth) (MALE),52.16772
Croatia,Life expectancy (at birth) (MALE),70.73512
Poland,Life expectancy (at birth) (MALE),72.07534
Russian Federation,Life expectancy (at birth) (MALE),62.94279
Belarus,Life expectancy (at birth) (MALE),64.54675
Liberia,Life expectancy (at birth) (MALE),60.07106
South Sudan,Life expectancy (at birth) (MALE),59.80157
Sudan,Life expectancy (at birth) (MALE),60.36473
Sudan,Life expectancy (at birth) (MALE),67.55361
Sudan,Life expectancy (at birth) (MALE),64.74486
Eswatini,Life expectancy (at birth) (MALE),53.35522
China,Life expectancy (at birth) (MALE),74.72757
Bhutan,Life expectancy (at birth) (MALE),69.86668
Mali,Life expectancy (at birth) (MALE),60.35869
Malta,Life expectancy (at birth) (MALE),79.62821
Thailand,Life expectancy (at birth) (MALE),71.76036835
Timor-Leste,Life expectancy (at birth) (MALE),66.52957916
Togo,Life expectancy (at birth) (MALE),61.53856659
Tonga,Life expectancy (at birth) (MALE),70.21465302
Trinidad and Tobago,Life expectancy (at birth) (MALE),68.41078949
Tunisia,Life expectancy (at birth) (MALE),71.51194
Saudi Arabia,Life expectancy (at birth) (MALE),69.58871
Americas,Life expectancy (at birth) (MALE),71.08535767
Republic of Korea,Life expectancy (at birth) (MALE),80.70510101
Republic of Moldova,Life expectancy (at birth) (MALE),65.53420258
Romania,Life expectancy (at birth) (MALE),69.20896149
Russian Federation,Life expectancy (at birth) (MALE),65.57146454
Rwanda,Life expectancy (at birth) (MALE),65.44898987
Saint Lucia,Life expectancy (at birth) (MALE),68.00482178
Saint Vincent and the Grenadines,Life expectancy (at birth) (MALE),70.02336884
Samoa,Life expectancy (at birth) (MALE),69.07190704
Democratic People's Republic of Korea,Life expectancy (at birth) (MALE),68.42332
Zimbabwe,Life expectancy (at birth) (MALE),49.58448
El Salvador,Life expectancy (at birth) (MALE),68.12299
Rwanda,Life expectancy (at birth) (MALE),45.88351
Myanmar,Life expectancy (at birth) (MALE),65.90776
Brunei Darussalam,Life expectancy (at birth) (MALE),73.37622
Austria,Life expectancy (at birth) (MALE),78.60368
Mozambique,Life expectancy (at birth) (MALE),50.66393
World,Life expectancy (at birth) (MALE),70.84768
Lesotho,Life expectancy (at birth) (MALE),47.6613
Japan,Life expectancy (at birth) (MALE),81.48871
Lao People's Democratic Republic,Life expectancy (at birth) (MALE),64.69891
Ghana,Life expectancy (at birth) (MALE),61.96555
Thailand,Life expectancy (at birth) (MALE),73.23504
France,Life expectancy (at birth) (MALE),78.9938
Denmark,Life expectancy (at birth) (MALE),78.7998
Benin,Life expectancy (at birth) (MALE),59.66497
Chile,Life expectancy (at birth) (MALE),76.9781
Comoros,Life expectancy (at birth) (MALE),65.9165
Barbados,Life expectancy (at birth) (MALE),75.01022
Mongolia,Life expectancy (at birth) (MALE),57.34036
Yemen,Life expectancy (at birth) (MALE),63.08852768
Zambia,Life expectancy (at birth) (MALE),58.72094727
Zimbabwe,Life expectancy (at birth) (MALE),56.1946106
Djibouti,Life expectancy (at birth) (MALE),60.63437
Bhutan,Life expectancy (at birth) (MALE),73.92720795
Bolivia (Plurinational State of),Life expectancy (at birth) (MALE),62.87421417
Bosnia and Herzegovina,Life expectancy (at birth) (MALE),72.55525208
Botswana,Life expectancy (at birth) (MALE),59.22470856
Brazil,Life expectancy (at birth) (MALE),69.04411316
Brunei Darussalam,Life expectancy (at birth) (MALE),75.33717346
Bulgaria,Life expectancy (at birth) (MALE),67.97640228
Burkina Faso,Life expectancy (at birth) (MALE),59.8761406
Burundi,Life expectancy (at birth) (MALE),62.04709244
Cabo Verde,Life expectancy (at birth) (MALE),68.80259705
Cambodia,Life expectancy (at birth) (MALE),66.3507309
Cameroon,Life expectancy (at birth) (MALE),59.88696289
Canada,Life expectancy (at birth) (MALE),79.37275696
Central African Republic,Life expectancy (at birth) (MALE),49.57149124
Chad,Life expectancy (at birth) (MALE),57.53495789
Chile,Life expectancy (at birth) (MALE),76.68998718
China,Life expectancy (at birth) (MALE),74.95413208
Colombia,Life expectancy (at birth) (MALE),71.55393219
Solomon Islands,Life expectancy (at birth) (MALE),62.55214691
Somalia,Life expectancy (at birth) (MALE),51.74982452
South Africa,Life expectancy (at birth) (MALE),58.90287018
South Sudan,Life expectancy (at birth) (MALE),56.47971344
South-East Asia,Life expectancy (at birth) (MALE),66.59948731
Croatia,Life expectancy (at birth) (FEMALE),79.909
Cyprus,Life expectancy (at birth) (FEMALE),85.11829
Lao People's Democratic Republic,Life expectancy (at birth) (FEMALE),60.60456
Liberia,Life expectancy (at birth) (FEMALE),65.00237
India,Life expectancy (at birth) (FEMALE),62.92488
Ukraine,Life expectancy (at birth) (FEMALE),73.24368
United Kingdom of Great Britain and Northern Ireland,Life expectancy (at birth) (FEMALE),82.09373
North Macedonia,Life expectancy (at birth) (FEMALE),73.47708
Spain,Life expectancy (at birth) (FEMALE),82.47808
Saint Vincent and the Grenadines,Life expectancy (at birth) (FEMALE),74.98965
Philippines,Life expectancy (at birth) (FEMALE),73.59611
Papua New Guinea,Life expectancy (at birth) (FEMALE),67.36317
Micronesia (Federated States of),Life expectancy (at birth) (FEMALE),65.66338
Belgium,Life expectancy (at birth) (FEMALE),82.37853
Botswana,Life expectancy (at birth) (FEMALE),63.9269
Myanmar,Life expectancy (at birth) (FEMALE),70.70499
Sri Lanka,Life expectancy (at birth) (FEMALE),79.81407
Pakistan,Life expectancy (at birth) (FEMALE),60.98538
Afghanistan,Life expectancy (at birth) (FEMALE),60.2972
Libya,Life expectancy (at birth) (FEMALE),76.27586
Lebanon,Life expectancy (at birth) (FEMALE),78.81971
Iran (Islamic Republic of),Life expectancy (at birth) (FEMALE),74.61162
Iraq,Life expectancy (at birth) (FEMALE),71.25191
United Republic of Tanzania,Life expectancy (at birth) (FEMALE),67.26328
Grenada,Life expectancy (at birth) (FEMALE),75.47548
Grenada,Life expectancy (at birth) (FEMALE),75.14696
Trinidad and Tobago,Life expectancy (at birth) (FEMALE),72.58298
Türkiye,Life expectancy (at birth) (FEMALE),80.67479
Sierra Leone,Life expectancy (at birth) (FEMALE),50.73185
Seychelles,Life expectancy (at birth) (FEMALE),76.84455
Singapore,Life expectancy (at birth) (FEMALE),80.7067
Brunei Darussalam,Life expectancy (at birth) (FEMALE),75.50254
Chile,Life expectancy (at birth) (FEMALE),81.30399
Benin,Life expectancy (at birth) (FEMALE),65.66406
El Salvador,Life expectancy (at birth) (FEMALE),78.02328
Netherlands (Kingdom of the),Life expectancy (at birth) (FEMALE),82.81586
Antigua and Barbuda,Life expectancy (at birth) (FEMALE),77.9584
Jordan,Life expectancy (at birth) (FEMALE),72.48032
Singapore,Life expectancy (at birth) (FEMALE),85.45309
Tajikistan,Life expectancy (at birth) (FEMALE),70.81903
Finland,Life expectancy (at birth) (FEMALE),84.03592
China,Life expectancy (at birth) (FEMALE),79.87157
United Republic of Tanzania,Life expectancy (at birth) (FEMALE),53.61302
United Republic of Tanzania,Life expectancy (at birth) (FEMALE),69.25912
United States of America,Life expectancy (at birth) (FEMALE),79.16907
Venezuela (Bolivarian Republic of),Life expectancy (at birth) (FEMALE),78.16525
Kuwait,Life expectancy (at birth) (FEMALE),80.10001
Burundi,Life expectancy (at birth) (FEMALE),60.31611
Central African Republic,Life expectancy (at birth) (FEMALE),53.03206
China,Life expectancy (at birth) (FEMALE),74.15446
Mozambique,Life expectancy (at birth) (FEMALE),61.73365
Maldives,Life expectancy (at birth) (FEMALE),79.47192
Nepal,Life expectancy (at birth) (FEMALE),71.39408
Jordan,Life expectancy (at birth) (FEMALE),78.76654
Madagascar,Life expectancy (at birth) (FEMALE),60.17678
Malaysia,Life expectancy (at birth) (FEMALE),77.07645
Israel,Life expectancy (at birth) (FEMALE),83.79334
Eastern Mediterranean,Life expectancy (at birth) (FEMALE),66.67445
Zambia,Life expectancy (at birth) (FEMALE),59.06268
Trinidad and Tobago,Life expectancy (at birth) (FEMALE),78.33041
Viet Nam,Life expectancy (at birth) (FEMALE),78.10517
Low-income economies,Life expectancy (at birth) (FEMALE),55.33836
Japan,Life expectancy (at birth) (FEMALE),86.93782
Turkmenistan,Life expectancy (at birth) (FEMALE),67.43173
Djibouti,Life expectancy (at birth) (FEMALE),66.61913
Benin,Life expectancy (at birth) (FEMALE),58.77462
Ethiopia,Life expectancy (at birth) (FEMALE),70.52014
Ecuador,Life expectancy (at birth) (FEMALE),77.86227
Finland,Life expectancy (at birth) (FEMALE),83.85168
Micronesia (Federated States of),Life expectancy (at birth) (FEMALE),65.6123
Romania,Life expectancy (at birth) (FEMALE),78.42323
Bosnia and Herzegovina,Life expectancy (at birth) (FEMALE),78.64929
Oman,Life expectancy (at birth) (FEMALE),72.54832
Angola,Life expectancy (at birth) (FEMALE),64.49519
Democratic People's Republic of Korea,Life expectancy (at birth) (FEMALE),75.69452
Kuwait,Life expectancy (at birth) (FEMALE),83.84083
Gambia,Life expectancy (at birth) (FEMALE),61.62589
Togo,Life expectancy (at birth) (FEMALE),58.13036
Democratic Republic of the Congo,Life expectancy (at birth) (FEMALE),59.42277
Canada,Life expectancy (at birth) (FEMALE),81.548
Sri Lanka,Life expectancy (at birth) (FEMALE),77.25994
Russian Federation,Life expectancy (at birth) (FEMALE),74.71544
Panama,Life expectancy (at birth) (FEMALE),82.05693
Papua New Guinea,Life expectancy (at birth) (FEMALE),66.54095
Nepal,Life expectancy (at birth) (FEMALE),70.91686
Maldives,Life expectancy (at birth) (FEMALE),71.48225
Israel,Life expectancy (at birth) (FEMALE),83.34052
Tonga,Life expectancy (at birth) (FEMALE),75.60913
Burkina Faso,Life expectancy (at birth) (FEMALE),60.78899
Chile,Life expectancy (at birth) (FEMALE),83.24642
New Zealand,Life expectancy (at birth) (FEMALE),83.51994
Europe,Life expectancy (at birth) (FEMALE),80.308
Lao People's Democratic Republic,Life expectancy (at birth) (FEMALE),67.38007
Fiji,Life expectancy (at birth) (FEMALE),67.67014313
Cameroon,Life expectancy (at birth) (FEMALE),58.09284
Czechia,Life expectancy (at birth) (FEMALE),80.65443
Sri Lanka,Life expectancy (at birth) (FEMALE),79.4123
Bahrain,Life expectancy (at birth) (FEMALE),77.01587
Syrian Arab Republic,Life expectancy (at birth) (FEMALE),72.7145
Haiti,Life expectancy (at birth) (FEMALE),57.17622
Syrian Arab Republic,Life expectancy (at birth) (FEMALE),68.36895
Sierra Leone,Life expectancy (at birth) (FEMALE),61.90173
Philippines,Life expectancy (at birth) (FEMALE),73.66255
Morocco,Life expectancy (at birth) (FEMALE),74.31212
Mexico,Life expectancy (at birth) (FEMALE),78.0138
Madagascar,Life expectancy (at birth) (FEMALE),65.50301
Upper-middle-income economies,Life expectancy (at birth) (FEMALE),73.77634
Guyana,Life expectancy (at birth) (FEMALE),69.39328
South Sudan,Life expectancy (at birth) (FEMALE),64.29511
Suriname,Life expectancy (at birth) (FEMALE),75.84726
Senegal,Life expectancy (at birth) (FEMALE),67.15244
Cabo Verde,Life expectancy (at birth) (FEMALE),77.93941
Timor-Leste,Life expectancy (at birth) (FEMALE),69.361
Central African Republic,Life expectancy (at birth) (FEMALE),56.25684
Burundi,Life expectancy (at birth) (FEMALE),66.13831
Portugal,Life expectancy (at birth) (FEMALE),80.07466
Nicaragua,Life expectancy (at birth) (FEMALE),77.92856
Luxembourg,Life expectancy (at birth) (FEMALE),84.19806
Lithuania,Life expectancy (at birth) (FEMALE),77.23074
Tonga,Life expectancy (at birth) (FEMALE),74.19746
United Arab Emirates,Life expectancy (at birth) (FEMALE),77.84315
Tunisia,Life expectancy (at birth) (FEMALE),78.83195
United Kingdom of Great Britain and Northern Ireland,Life expectancy (at birth) (FEMALE),82.34264
Switzerland,Life expectancy (at birth) (FEMALE),85.07654
Côte d'Ivoire,Life expectancy (at birth) (FEMALE),65.98000336
Croatia,Life expectancy (at birth) (FEMALE),80.01118469
Cuba,Life expectancy (at birth) (FEMALE),76.50608826
Cyprus,Life expectancy (at birth) (FEMALE),83.96356964
Czechia,Life expectancy (at birth) (FEMALE),80.27144623
Democratic People's Republic of Korea,Life expectancy (at birth) (FEMALE),75.64984131
Democratic Republic of the Congo,Life expectancy (at birth) (FEMALE),63.91177368
Denmark,Life expectancy (at birth) (FEMALE),82.90091705
Eastern Mediterranean,Life expectancy (at birth) (MALE),63.51942
Uzbekistan,Life expectancy (at birth) (MALE),68.98178
Togo,Life expectancy (at birth) (MALE),59.24372
Uganda,Life expectancy (at birth) (MALE),46.79795
Hungary,Life expectancy (at birth) (MALE),73.08767
Israel,Life expectancy (at birth) (MALE),79.95578
Ethiopia,Life expectancy (at birth) (MALE),66.89559
Somalia,Life expectancy (at birth) (MALE),54.00606
Georgia,Life expectancy (at birth) (MALE),65.57988
Tonga,Life expectancy (at birth) (MALE),69.14207
Costa Rica,Life expectancy (at birth) (MALE),76.98176
Venezuela (Bolivarian Republic of),Life expectancy (at birth) (MALE),70.82234
Yemen,Life expectancy (at birth) (MALE),60.85933
Ethiopia,Life expectancy (at birth) (MALE),61.33376
Singapore,Life expectancy (at birth) (MALE),79.36228
Rwanda,Life expectancy (at birth) (MALE),65.47186
Slovakia,Life expectancy (at birth) (MALE),73.47845
Philippines,Life expectancy (at birth) (MALE),67.12744
Saint Vincent and the Grenadines,Life expectancy (at birth) (MALE),70.92134
Cambodia,Life expectancy (at birth) (MALE),66.19556
Nepal,Life expectancy (at birth) (MALE),68.87744
Dominican Republic,Life expectancy (at birth) (MALE),70.4311
Slovakia,Life expectancy (at birth) (MALE),69.15716
Türkiye,Life expectancy (at birth) (MALE),74.6453
Saint Vincent and the Grenadines,Life expectancy (at birth) (MALE),68.51405
Cyprus,Life expectancy (at birth) (MALE),81.11502
El Salvador,Life expectancy (at birth) (MALE),68.3898
Rwanda,Life expectancy (at birth) (MALE),66.8829
Burundi,Life expectancy (at birth) (MALE),56.85909
Libya,Life expectancy (at birth) (MALE),72.39447
Zambia,Life expectancy (at birth) (MALE),54.26674
Canada,Life expectancy (at birth) (MALE),76.54477
Senegal,Life expectancy (at birth) (MALE),66.82092
Fiji,Life expectancy (at birth) (MALE),63.68639
Finland,Life expectancy (at birth) (MALE),76.68188
Slovakia,Life expectancy (at birth) (MALE),71.68994
Kyrgyzstan,Life expectancy (at birth) (MALE),67.91751
United Arab Emirates,Life expectancy (at birth) (MALE),72.1955
South Africa,Life expectancy (at birth) (MALE),62.20109
Comoros,Life expectancy (at birth) (MALE),63.60187
Cameroon,Life expectancy (at birth) (MALE),60.28629
Albania,Life expectancy (at birth) (MALE),70.65347
Lao People's Democratic Republic,Life expectancy (at birth) (MALE),56.27648
Mali,Life expectancy (at birth) (MALE),52.60764
Uzbekistan,Life expectancy (at birth) (MALE),67.51205
Burkina Faso,Life expectancy (at birth) (MALE),60.06457
Eswatini,Life expectancy (at birth) (MALE),50.25138
Madagascar,Life expectancy (at birth) (MALE),57.53505
Azerbaijan,Life expectancy (at birth) (MALE),62.57429
Guinea-Bissau,Life expectancy (at birth) (MALE),47.7679
Paraguay,Life expectancy (at birth) (MALE),73.0798
Bangladesh,Life expectancy (at birth) (MALE),64.0705
Democratic Republic of the Congo,Life expectancy (at birth) (MALE),60.00336
Afghanistan,Life expectancy (at birth) (MALE),54.57449
Zambia,Life expectancy (at birth) (MALE),57.92546
Turkmenistan,Life expectancy (at birth) (MALE),66.48119
Iraq,Life expectancy (at birth) (MALE),67.3221
Austria,Life expectancy (at birth) (MALE),75.09416
Barbados,Life expectancy (at birth) (MALE),74.32362
Lower-middle-income economies,Life expectancy (at birth) (MALE),64.46651
Ireland,Life expectancy (at birth) (MALE),78.33406
Italy,Life expectancy (at birth) (MALE),79.37474
Greece,Life expectancy (at birth) (MALE),75.51034
Djibouti,Life expectancy (at birth) (MALE),62.83549
Dominican Republic,Life expectancy (at birth) (MALE),70.22039
Serbia,Life expectancy (at birth) (MALE),68.66045
Costa Rica,Life expectancy (at birth) (MALE),78.16401
Equatorial Guinea,Life expectancy (at birth) (MALE),60.86714
Guinea-Bissau,Life expectancy (at birth) (MALE),57.35839
Chile,Life expectancy (at birth) (MALE),75.4846
Libya,Life expectancy (at birth) (MALE),72.69602
Turkmenistan,Life expectancy (at birth) (MALE),59.33689
Indonesia,Life expectancy (at birth) (MALE),67.53188
Yemen,Life expectancy (at birth) (MALE),65.87653
South Africa,Life expectancy (at birth) (MALE),53.07986
Grenada,Life expectancy (at birth) (MALE),68.60365
Ethiopia,Life expectancy (at birth) (MALE),65.03864
Nicaragua,Life expectancy (at birth) (MALE),70.77222
Brunei Darussalam,Life expectancy (at birth) (MALE),73.34856
Congo,Life expectancy (at birth) (MALE),63.80726
Timor-Leste,Life expectancy (at birth) (MALE),66.79213
Madagascar,Life expectancy (at birth) (MALE),62.87302
Côte d'Ivoire,Life expectancy (at birth) (MALE),54.8072
Kenya,Life expectancy (at birth) (MALE),59.23307
Guatemala,Life expectancy (at birth) (MALE),68.95307
Iceland,Life expectancy (at birth) (MALE),77.74491
Kiribati,Life expectancy (at birth) (MALE),56.13857
Greece,Life expectancy (at birth) (MALE),77.84715
Togo,Life expectancy (at birth) (MALE),53.9011
El Salvador,Life expectancy (at birth) (MALE),70.57839
Pakistan,Life expectancy (at birth) (MALE),63.12226
Luxembourg,Life expectancy (at birth) (MALE),75.1468
Namibia,Life expectancy (at birth) (MALE),59.36171
Lao People's Democratic Republic,Life expectancy (at birth) (MALE),66.19006
Latvia,Life expectancy (at birth) (MALE),70.58307
Costa Rica,Life expectancy (at birth) (MALE),75.87686157
Europe,Life expectancy (at birth) (MALE),73.25065613
Fiji,Life expectancy (at birth) (MALE),63.49181747
Saint Vincent and the Grenadines,Life expectancy (at birth) (MALE),71.32362
Croatia,Life expectancy (at birth) (MALE),75.53787
Dominican Republic,Life expectancy (at birth) (MALE),69.75737
Bahamas,Life expectancy (at birth) (MALE),69.64163
Bhutan,Life expectancy (at birth) (MALE),71.05044
Myanmar,Life expectancy (at birth) (MALE),57.31408
Brunei Darussalam,Life expectancy (at birth) (MALE),73.38683
Oman,Life expectancy (at birth) (MALE),71.40276
Ireland,Life expectancy (at birth) (MALE),73.84161
Somalia,Life expectancy (at birth) (MALE),49.4914
Eswatini,Life expectancy (at birth) (MALE),44.81421
Ghana,Life expectancy (at birth) (MALE),59.69993
Spain,Life expectancy (at birth) (MALE),75.69277
Sudan,Life expectancy (at birth) (MALE),66.19466
Senegal,Life expectancy (at birth) (MALE),63.66822
Sierra Leone,Life expectancy (at birth) (MALE),46.76562
Timor-Leste,Life expectancy (at birth) (MALE),67.30756
Chile,Life expectancy (at birth) (MALE),73.63732
Netherlands (Kingdom of the),Life expectancy (at birth) (MALE),78.74343
Nicaragua,Life expectancy (at birth) (MALE),71.38432
Malta,Life expectancy (at birth) (MALE),75.527
Kyrgyzstan,Life expectancy (at birth) (MALE),61.94992
Gambia,Life expectancy (at birth) (MALE),63.41956
Hungary,Life expectancy (at birth) (FEMALE),78.73118
Belize,Life expectancy (at birth) (FEMALE),74.01778
Ukraine,Life expectancy (at birth) (FEMALE),77.81106
Djibouti,Life expectancy (at birth) (FEMALE),63.25947
Qatar,Life expectancy (at birth) (FEMALE),73.8738
Norway,Life expectancy (at birth) (FEMALE),84.12942
Micronesia (Federated States of),Life expectancy (at birth) (FEMALE),64.20377
Bosnia and Herzegovina,Life expectancy (at birth) (FEMALE),78.03024
Guatemala,Life expectancy (at birth) (FEMALE),74.00925
Cyprus,Life expectancy (at birth) (FEMALE),83.09668
Saint Lucia,Life expectancy (at birth) (FEMALE),78.87186
Sierra Leone,Life expectancy (at birth) (FEMALE),55.77563
Saint Vincent and the Grenadines,Life expectancy (at birth) (FEMALE),74.90836
New Zealand,Life expectancy (at birth) (FEMALE),81.05739
Norway,Life expectancy (at birth) (FEMALE),81.15433
Malta,Life expectancy (at birth) (FEMALE),83.79854
Zambia,Life expectancy (at birth) (FEMALE),65.36993
High-income economies,Life expectancy (at birth) (FEMALE),80.56939
Turkmenistan,Life expectancy (at birth) (FEMALE),72.56609
Gabon,Life expectancy (at birth) (FEMALE),64.2548
Israel,Life expectancy (at birth) (FEMALE),84.35995
Low-income economies,Life expectancy (at birth) (FEMALE),65.35439
Guatemala,Life expectancy (at birth) (FEMALE),72.76701
South Africa,Life expectancy (at birth) (FEMALE),65.34021
Thailand,Life expectancy (at birth) (FEMALE),80.69901
Canada,Life expectancy (at birth) (FEMALE),84.05355
Congo,Life expectancy (at birth) (FEMALE),52.57912
Japan,Life expectancy (at birth) (FEMALE),84.37168
New Zealand,Life expectancy (at birth) (FEMALE),82.70528
Yemen,Life expectancy (at birth) (FEMALE),69.57951
